"","006A","022A","015A","020A","015B","022B","020B","012B","012A","009B","009A","033B","007B","024B","045B","045A","035B","032A","023B","035A","025A","025B","032B","068A","023A","019B","019A","051B","051A","068B","038A","052B","039B","074A","056B","055B","052A","029A","056A","038B","057B","062B","063B","061B","060A","061A","057A","058A","062A","007A","040B","024A","033A","058B","060B","049A","065B","065A","049B","016B","016A","013B","006B","001A","013A","008A","008B","043B","011A","034A","039A","055A","040A","043A","063A","001B"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella;__",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,6,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella;s__",8,12,22,57,17,3,59,37,38,14,13,14,12,15,9,28,25,33,33,37,8,30,5,89,2,13,9,130,127,37,12,32,38,6,27,13,13,4,6,6,28,187,34,137,151,212,15,20,8,86,13,4,16,4,7,9,100,15,10,15,11,7,20,4,22,1,12,6,5,2,3,11,0,9,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella;s__indoligenes",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__",46,16,45,23,8,1,44,13,94,28,22,6,20,3,95,152,37,62,64,45,8,6,106,68,73,6,38,50,28,13,48,190,73,32,154,7,2,0,43,56,152,68,11,67,82,16,56,29,28,21,11,20,5,1,7,15,149,44,157,28,73,4,41,8,24,28,92,44,159,17,125,26,2,17,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia;s__satelles",3,65,11,0,7,0,0,0,0,0,16,2,0,0,1,2,8,1,1,7,0,2,0,0,13,0,1,0,1,0,0,62,1,17,0,31,0,0,16,1,0,0,0,0,0,0,1,2,0,0,0,1,0,10,1,5,0,1,49,0,0,1,0,0,5,3,7,15,0,0,3,6,0,8,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Peptococcus;s__",0,47,0,4,2,1,0,1,15,0,0,13,0,1,43,15,0,1,11,0,1,5,22,0,1,0,0,2,16,2,6,12,20,3,3,2,2,0,7,0,6,0,6,0,0,1,2,10,0,0,28,5,5,0,2,18,11,12,9,7,17,1,0,0,3,0,0,0,72,0,43,46,16,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Filifactor;s__",0,26,0,0,0,0,0,1,65,0,0,0,0,0,88,0,0,8,0,0,0,0,35,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,121,0,27,26,0,0,17,0,0,82,0,0,35,200,0,0,18,7,6,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus;__",0,1,0,0,0,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,6,2,3,2,2,0,0,3,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__",3,104,0,0,18,0,0,53,133,0,43,8,0,0,11,74,17,29,0,32,0,0,18,18,184,0,0,3,13,3,22,7,3,0,9,0,0,0,35,0,16,0,7,0,0,4,68,0,0,0,0,1,9,0,0,29,19,13,23,20,72,10,0,0,173,155,326,90,37,0,0,45,1,9,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__anaerobius",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;__;__",2,7,1,0,1,3,0,7,1,4,16,20,1,0,0,0,35,3,0,4,0,1,1,20,1,0,1,0,3,17,2,3,0,3,0,0,0,2,0,0,87,1,0,0,2,0,5,0,0,1,0,0,1,0,4,3,5,7,12,5,1,0,0,0,2,0,2,9,0,1,2,1,1,1,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__;s__",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__",31,257,105,113,163,5,61,36,19,109,264,93,0,14,7,81,379,47,158,100,6,20,239,123,92,6,24,4,60,105,123,838,42,167,244,112,18,9,264,648,19,21,2,11,43,7,86,130,3,0,34,11,18,198,30,67,88,50,58,29,30,12,0,14,48,96,250,145,141,0,61,130,0,26,0,2
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera;s__",1,21,18,123,8,0,0,3,81,1,85,41,0,0,0,46,93,30,79,14,4,24,0,120,8,19,25,0,3,47,6,319,30,119,45,107,5,0,60,0,2,4,0,0,114,0,0,34,1,1,6,5,8,0,38,53,12,32,50,9,0,8,0,54,7,34,252,152,0,0,5,21,0,12,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Schwartzia;s__",84,238,10,74,0,15,6,348,91,25,148,24,0,1,187,61,188,20,33,160,0,13,49,86,121,6,7,2,131,22,121,97,130,321,99,34,3,0,105,16,5,0,6,0,287,0,13,127,4,0,16,21,11,0,108,51,184,259,127,5,2,24,0,0,116,55,214,129,39,0,147,47,6,2,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Selenomonas;__",2,34,6,57,13,23,34,76,48,50,15,40,2,64,7,8,103,149,13,11,3,4,48,156,3,3,7,76,188,35,20,112,6,17,3,6,4,1,3,10,23,224,9,13,12,21,8,21,11,2,41,5,1,3,10,4,21,19,7,25,29,9,6,1,13,95,58,8,0,58,1,7,6,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Selenomonas;s__",300,667,416,173,115,141,59,621,679,213,535,253,27,52,865,268,728,179,559,631,101,149,252,328,388,40,149,191,352,334,164,223,85,87,50,44,103,16,82,103,90,238,28,65,1170,14,105,154,5,17,183,36,135,1,283,112,324,353,141,227,137,100,77,0,135,243,828,570,15,69,198,62,60,61,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Selenomonas;s__bovis",0,7,0,0,0,0,0,0,2,6,9,24,0,0,0,0,45,1,8,0,0,0,0,13,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,4,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Selenomonas;s__noxia",40,246,180,114,181,64,135,193,71,170,26,167,127,37,33,65,181,175,25,41,20,31,59,110,10,31,138,45,125,115,61,298,75,213,70,84,181,49,57,74,123,310,81,104,38,147,49,48,12,62,70,11,30,51,43,21,41,21,22,197,231,35,68,0,41,220,120,18,1,341,92,99,32,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;__",451,290,1755,152,2646,185,1054,332,524,1857,254,413,779,356,70,205,192,446,325,345,78,16,546,555,260,299,438,295,304,210,1168,1303,972,514,757,175,938,2832,68,523,150,682,194,414,318,627,750,307,205,649,307,67,428,1527,485,453,479,282,327,794,1071,317,219,597,113,725,499,128,326,2239,167,328,378,161,4,399
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar",65,25,292,24,405,35,175,95,165,377,19,41,510,55,15,44,46,34,49,28,5,0,49,101,45,21,44,66,67,26,147,201,105,121,58,15,100,272,8,72,15,150,22,84,92,106,94,44,81,135,44,7,56,217,231,62,109,32,84,92,105,44,22,120,3,114,49,32,32,507,30,34,43,34,1,12
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula",8,5,54,0,49,3,4,9,5,31,12,7,9,6,0,1,4,2,11,8,2,0,6,8,2,6,7,10,5,1,16,26,15,2,18,4,5,92,4,13,1,10,9,3,12,7,11,3,0,17,4,0,14,12,12,4,12,4,3,26,31,9,3,7,10,5,1,5,5,27,0,17,14,1,0,8
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Acidaminobacteraceae];g__;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];__;__",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__;s__",10,163,5,10,13,3,3,19,73,24,304,63,0,2,15,77,24,26,18,42,19,9,88,2,47,10,59,3,23,1,12,70,8,6,20,12,1,3,30,6,3,0,0,0,22,0,18,12,6,0,39,28,72,0,6,202,18,80,36,18,23,28,0,0,79,33,178,95,188,1,31,36,3,25,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__Mogibacterium;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Parvimonas;s__",87,213,61,128,95,24,85,187,200,193,1179,119,1,30,15,82,203,74,46,240,51,143,226,119,79,17,165,82,131,20,46,58,45,36,154,3,0,0,326,244,5,7,7,5,24,1,23,34,18,0,92,23,85,2,10,14,187,80,91,22,58,52,0,0,177,384,965,321,106,1,179,56,39,595,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Peptoniphilus;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__",0,5,0,0,0,0,0,0,10,1,1,6,0,1,3,32,4,13,2,15,0,0,20,0,15,0,2,0,12,0,10,0,5,8,30,0,0,0,30,7,0,0,0,0,2,0,5,24,0,0,0,0,5,0,0,2,19,4,0,0,0,2,0,0,40,0,8,47,156,0,13,5,0,13,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__moorei",20,29,20,9,48,2,2,1,68,43,47,39,1,1,4,29,0,31,10,4,23,1,2,22,2,0,51,3,9,7,29,74,5,19,10,30,0,4,32,26,5,0,3,4,33,4,4,9,0,0,39,2,68,9,28,11,105,5,23,81,24,0,0,2,63,44,53,45,17,0,3,26,1,2,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__RFN20;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Sharpea;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__",707,1838,843,529,843,795,602,995,604,787,2610,1146,155,736,1903,808,743,881,539,669,199,617,2179,617,696,2122,1194,1066,670,841,1329,1269,701,2542,2094,1543,997,191,2390,2048,914,180,489,762,332,341,640,965,21,86,1168,592,418,902,335,541,1497,685,924,923,540,819,191,0,1348,814,1913,774,1565,306,1921,1217,602,223,0,1
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;__;__",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__",597,2062,1787,1801,2100,1612,1119,4433,3194,2863,373,3135,1276,1505,474,793,1669,2966,1191,406,407,222,2012,1063,290,990,907,1377,1161,3257,483,676,1048,678,813,1198,2957,540,436,668,1553,2015,635,1228,1901,743,900,964,482,492,357,271,621,1428,194,320,872,621,664,700,458,1305,17,11,480,3929,2558,319,183,425,1506,1557,724,33,133,1707
"k__Bacteria;p__GN02;c__BD1-5;o__;f__;g__;s__",0,1,0,0,0,35,0,3,10,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,8,0,1,1,0,0,0,0,2,7,7,4,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0
"k__Bacteria;p__OD1;__;__;__;__;__",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__OD1;c__;o__;f__;g__;s__",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;__;__;__;__;__",1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,3,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Afipia;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;__",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;__;__",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__marcusii",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__yabuuchiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__;__;__;__",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;__;__;__",1,0,0,0,0,3,0,1,3,3,0,0,1,0,0,0,0,1,0,0,9,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,4,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,3,0,2,2,4,0,2,0,0,0,0,0,0,1,3,1,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;__;__",1,0,0,0,0,2,0,4,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,4,1,2,0,1,0,0,0,0,0,0,2,1,1,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__",78,20,6,0,20,58,14,41,98,37,0,17,270,9,5,0,11,11,0,0,218,6,28,5,15,15,31,2,4,6,0,18,12,18,3,21,49,696,10,21,1,0,29,1,1,3,3,3,1,31,46,1,5,0,0,16,13,33,22,84,39,92,34,96,57,26,1,6,8,1,9,7,28,32,101,18
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__;__",0,1,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,1,2,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__;s__",0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,0,0,0,0,0,12,6,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,30,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Curvibacter;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Curvibacter;s__",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
