"","006A","022A","015A","020A","015B","022B","020B","012B","012A","009B","009A","033B","007B","024B","045B","045A","035B","032A","023B","035A","025A","025B","032B","068A","023A","019B","019A","051B","051A","068B","038A","052B","039B","074A","056B","055B","052A","029A","056A","038B","057B","062B","063B","061B","060A","061A","057A","058A","062A","007A","040B","024A","033A","058B","060B","049A","065B","065A","049B","016B","016A","013B","006B","001A","013A","008A","008B","043B","011A","034A","039A","055A","040A","043A","063A","001B"
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hylemonella;s__",1,2,0,0,0,0,0,0,41,0,0,0,68,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,1,0,0,6,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Lampropedia;s__",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pelomonas;__",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pelomonas;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,1,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Ralstonia;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0,0,0,0,0,13,0,0,0,0,0,3,0,7,0,0,4,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;__;__",2,4,0,0,1,3,0,1,2,4,0,0,10,0,4,3,0,0,0,1,1,0,2,0,0,28,1,4,0,1,2,0,38,1,1,1,2,0,0,3,0,4,7,0,0,1,1,1,0,0,6,1,0,0,1,1,3,2,0,9,1,3,4,1,1,3,0,2,1,0,6,2,6,1,0,1
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__;s__",0,4,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Bergeriella;s__denitrificans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Eikenella;s__",48,55,2,16,8,64,29,58,121,32,6,44,105,42,73,59,15,50,25,11,23,15,94,6,66,197,30,36,14,46,181,6,23,21,34,49,20,43,27,69,21,18,42,17,3,13,11,23,1,16,96,13,17,0,11,22,74,144,19,70,18,97,4,31,25,8,17,55,41,30,46,31,91,7,10,11
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Kingella;s__",119,4,46,4,229,53,63,13,41,68,4,33,116,52,32,19,1,42,58,0,70,27,71,50,20,182,10,24,10,9,51,20,346,24,7,15,22,201,6,61,5,171,58,17,2,51,94,31,75,12,42,16,4,39,51,2,55,6,2,167,51,2,310,98,0,55,5,59,12,40,17,62,106,9,26,284
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Kingella;s__denitrificans",0,1,0,0,0,3,0,0,2,12,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,6,3,0,221,0,7,0,14,5,0,16,0,3,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,12,0,1,239,0,4,0,1,0,1,0,0,0,0,0,0,57,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;__",4,3,0,0,1,3,0,0,1,10,0,2,6,1,11,0,0,1,0,0,0,0,5,0,4,11,0,2,0,2,6,0,5,2,1,0,0,0,0,19,0,0,13,0,1,0,0,0,0,0,5,0,0,1,1,2,3,1,0,12,2,3,0,0,2,5,0,1,0,0,1,0,2,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__",53,23,2,1,34,11,43,47,47,74,1,122,18,87,31,4,8,1,7,2,0,0,1,2,69,47,0,19,12,0,1,49,641,64,3,0,7,13,1,24,7,0,61,0,1,1,0,0,0,0,201,0,2,0,0,2,79,124,14,51,28,5,0,39,2,147,11,6,0,0,50,0,32,30,132,1
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__bacilliformis",172,0,0,0,0,11,0,0,0,34,0,0,0,7,0,0,0,0,58,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,696,8,0,0,0,0,0,0,2,0,0,0,0,3
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__cinerea",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__elongata",51,0,3,1,0,10,3,8,100,60,1,4,52,7,326,8,0,0,0,0,1,0,13,19,5,274,0,0,0,33,104,0,0,6,12,5,0,0,11,164,0,3,53,2,4,9,0,0,0,11,107,0,4,0,56,0,58,42,0,95,55,18,0,0,14,38,1,1,0,0,0,40,53,1,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__oralis",0,28,0,0,0,17,0,21,58,113,8,76,314,0,1,0,0,38,10,0,0,0,136,0,62,17,0,20,14,0,0,28,3,0,2,464,201,0,12,83,29,0,1,0,0,0,0,203,0,4,380,0,26,0,0,0,1,2,0,26,6,1332,0,0,87,0,0,2,4,0,137,401,76,8,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__subflava",62,92,0,0,6,40,0,0,54,1,0,9,0,9,0,0,0,0,2,0,0,0,0,0,0,18,0,0,3,5,12,0,7,3,11,2,0,0,0,3,3,0,54,0,9,0,0,2,0,1,0,0,3,19,2,2,19,5,1,31,3,1,6,0,0,2,0,0,0,0,0,0,2,0,1,2
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__weaveri",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Propionivibrio;s__",0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,2,7,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfobulbus;s__",0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,49,0,0,0,10,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,14,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,0,0
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;__;__;__",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;__",0,0,0,0,0,0,0,14,19,0,2,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__",287,457,304,283,175,120,172,287,372,258,216,274,180,132,494,107,164,314,221,143,63,114,315,158,92,204,84,178,123,126,472,105,142,126,256,100,66,31,227,221,95,153,118,111,304,72,104,99,13,186,139,133,64,45,64,51,193,307,198,221,83,103,24,4,232,331,165,63,109,162,163,98,78,17,0,6
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__rectus",0,53,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,3,0,0,0
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Wolinella;s__succinogenes",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium;s__",10,2,5,3,10,53,7,3,11,2,0,10,32,10,18,4,1,4,5,0,23,0,11,2,0,8,7,17,3,6,6,1,5,6,19,22,19,0,14,16,2,1,7,4,0,4,5,18,0,4,29,1,1,0,2,0,2,0,4,13,5,89,0,0,8,11,4,6,3,16,37,22,41,2,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium;s__valvarum",2,5,0,0,0,3,4,0,5,0,0,2,0,0,1,0,0,7,1,0,0,0,15,1,0,2,0,0,1,4,3,0,0,1,25,66,5,0,12,0,0,0,0,5,0,19,0,0,0,0,9,0,0,0,0,0,1,1,12,0,0,5,0,0,0,0,0,3,1,0,0,20,11,1,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__",0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Kluyvera;__",0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Kluyvera;s__cryocrescens",0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;__",0,7,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;s__",0,10,0,0,0,2,1,4,2,0,25,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,15,0,1,0,0,1,0,0,1,0,0,6,0,0,1,2,1,2,0,0,0,1,14,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;s__segnis",12,0,0,3,0,1,4,1,10,2,0,9,0,3,1,0,0,1,6,0,0,0,3,0,0,5,0,0,0,3,1,0,0,0,1,2,0,0,1,3,0,0,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,8,3,0,0,0,1,1,2,0,0,0,0,3,4,0,2,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae",3,2,0,0,1,0,19,0,4,3,0,5,2,4,3,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,9,0,0,4,0,2,18,0,6,2,6,1,0,0,0,1,1,0,1,7,0,0,2,2,0,0,22,1,1,0,1,9,10,0,1,1,0,0,0,0,1,0,2,8,11
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__fragi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__veronii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__SR1;c__;o__;f__;g__;s__",7,61,0,0,0,47,0,0,2,1,0,7,0,4,0,1,0,1,7,0,0,0,1,0,0,4,3,1,0,17,22,0,0,0,55,5,4,0,29,0,5,0,0,0,0,1,1,0,0,1,9,0,3,0,10,0,1,0,17,9,9,0,0,0,1,0,0,2,74,0,0,4,3,0,0,0
"k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;__",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__",29,940,0,15,5,2,2,40,148,46,460,59,0,1,173,123,22,57,12,34,0,23,88,56,67,13,30,0,17,47,6,1,117,4,15,11,0,0,84,13,31,0,12,1,50,11,102,0,0,0,49,57,91,0,7,220,21,60,90,33,140,47,0,0,338,61,149,27,1114,0,131,24,44,4,0,0
"k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__amylovorum",0,57,0,0,0,0,0,1,10,0,0,3,0,0,0,0,0,1,0,3,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,9,0,0,2,1,0,7,0,3,0,0,0,0,0,0,0,27,0,0,0,1,2,0,0
"k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__socranskii",45,261,37,75,21,13,15,83,102,157,305,60,0,2,61,42,83,35,19,40,9,26,84,101,84,3,44,5,44,31,43,13,89,66,69,20,2,0,96,17,33,0,18,0,33,12,33,110,0,0,9,74,15,0,7,89,65,53,78,67,34,15,0,0,198,48,193,80,115,0,3,17,4,13,0,0
"k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__TG5;s__",0,142,0,2,0,1,1,61,259,14,335,10,0,1,483,200,80,17,2,355,6,32,159,14,236,13,25,2,117,0,9,0,1,44,25,4,0,0,53,0,0,1,2,0,68,0,1,0,2,0,8,27,63,0,24,536,32,213,15,0,1,0,0,0,270,38,243,70,212,0,68,19,14,5,0,0
"k__Bacteria;p__TM7;__;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"k__Bacteria;p__TM7;c__TM7-3;__;__;__;__",2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__;s__",616,923,274,171,319,746,138,132,523,633,735,327,24,91,1272,185,77,325,165,154,4113,1901,77,193,311,40,616,82,348,686,231,198,129,455,379,173,574,14,409,97,338,51,313,266,156,101,79,512,32,37,55,259,168,183,277,229,446,226,251,459,162,104,3,14,292,210,469,506,161,41,122,105,92,62,1889,347
"k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__;g__;s__",0,9,1,0,0,15,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,1,0,0,0,0,7,0,0,6,0,0,0,0,44,0,0,0,0,1,5,0,1,0,0,0,2,2,2,0,0,21,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16;g__;s__",2,38,10,8,3,8,0,0,33,39,4,10,0,10,2,6,19,21,23,7,1,0,21,0,0,0,0,30,33,0,16,19,25,1,49,10,17,0,22,8,43,21,6,0,19,1,8,20,0,0,6,1,4,0,8,6,30,4,24,10,17,11,0,0,44,2,13,27,21,0,31,5,2,4,0,0
"k__Bacteria;p__TM7;c__TM7-3;o__I025;f__Rs-045;g__;s__",78,208,0,160,0,2,0,5,339,73,289,64,0,6,0,0,164,83,0,57,0,0,117,8,0,16,134,0,0,0,144,4,0,0,473,143,5,0,282,26,30,0,0,0,721,0,37,0,4,0,0,189,34,0,95,120,40,177,85,0,0,0,0,0,0,166,990,1006,107,0,0,62,0,46,0,0
"k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__",6,40,0,1,0,0,0,0,9,5,63,0,0,0,0,1,0,2,2,3,0,0,0,0,20,1,0,0,0,0,8,0,0,0,23,0,0,0,30,8,0,0,0,0,0,0,0,33,0,0,0,2,0,2,0,2,1,1,2,0,0,0,0,0,20,1,6,6,81,0,20,20,1,1,0,0
"k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__;s__",3,0,0,0,0,0,0,0,1,0,1,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales;f__Thermaceae;g__Meiothermus;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
